label,artist,album,genre,single_count,freq_billboard,freq_genius,freq_theSource,freq_xxl,rating_AOTY,rating_meta,rating_pitch,twitter,instagram,facebook,spotify,soundcloud,youtube
1,DRAM,Big Baby DRAM,hiphop,4,0,1,65,17,,,,123443,266891,147649,585251,167877,899854
0,Jared Evan,The Blanket Truth,hiphop,4,0,0,0,0,,,,38037,30230,30064,7204,8736,12596
0,Chad,The Book of Chad,hiphop,4,0,1,34,61,,,,0,0,0,0,0,0
0,Swet Shop Boys,Cashmere,hiphop,0,0,0,0,17,,80,7.4,9500,2,9000,15564,1949,4665
0,Moor Mother,Fetish Bones,hiphop,0,0,0,0,0,,,8.2,4410,0,8436,3711,3378,0
0,Westside Gunn,Flygod,hiphop,3,0,0,2,80,,,,19670,55515,11080,13636,14455,0
0,Grace,FMA,hiphop,3,0,0,10,196,,,,311548,2659619,1039213,715514,19453,2653554
1,6lack,Free 6lack,hiphop,2,0,1,6,99,,,,456200,839246,303208,805720,266100,463168
0,Rebstar,Girls Like Nicole,hiphop,0,0,0,0,2,,,,0,0,0,539,0,0
1,Mick Jenkins,The Healing Component,hiphop,2,0,0,2,18,,79,7.6,227181,191872,0,192267,0,94957
0,Jon Bellion,The Human Condition,hiphop,2,0,0,0,1,,,,1495381,576097,210693,635733,193740,259232
1,Tory Lanez,I Told You,hiphop,2,3,0,17,185,,,6.3,1378606,2516709,733872,1259192,583770,1470537
1,Kevin Gates,Islah,hiphop,4,0,0,4,438,,81,8.5,4633,5776786,7623899,1560315,470028,3507298
1,Young Dolph,King of Memphis,hiphop,1,0,0,8,138,,70,,511706,2729146,350827,590515,76476,332353
1,Dame D.O.L.L.A.,The Letter O,hiphop,0,0,0,1,5,,,,0,0,0,49703,63843,0
0,Dareysteel,Man of the Year,hiphop,0,0,0,0,1809,,,,110,0,0,41,399,0
0,MHD,MHD,hiphop,3,0,0,10,3,,,,122416,0,0,528700,0,2243504
0,Mykki Blanco,Mykki,hiphop,3,0,0,3,1,,77,7.7,39908,64049,84094,32999,30163,16714
0,Seth & Nirva,Never Alone,hiphop,0,0,59,166,64,,,,2034,8417,10280,3114,0,591
0,Young Check'a,Never Seen,hiphop,2,2,0,0,181,,,,0,0,0,0,0,0
0,Elliott Power,Once Smitten,hiphop,4,0,0,0,5,,,,704,3165,167,1266,1067,439
0,A-Reece,Paradise,hiphop,5,0,0,0,244,,,,497644,200853,92401,5288,0,0
1,Redfoo,Party Rock Mansion,hiphop,3,0,0,0,7,,,,1002856,603729,3796874,276676,89617,2260887
0,CDQ,Quality,hiphop,6,0,0,5,691,,,,0,909796,1686,2127,0,0
1,Post Malone,Stoney,hiphop,6,10,3,3,353,,,4.5,3521458,8856801,2078062,3644754,1038942,5962325
1,Isaiah Rashad,The Sun's Tirade,hiphop,1,0,0,0,17,,80,,439938,410917,136942,354513,200138,0
