artist,album,genre,single_count
Seth MacFarlane,Music Is Better Than Words,pop,2
The Cinema,My Blood Is Full of Airplanes,pop,4
Of Monsters and Men,My Head Is an Animal,pop,4
Naela,Naela,pop,4
Grouplove,Never Trust a Happy Song,pop,4
New Look,New Look,pop,0
Lauri Ylonen,New World,pop,3
Dev,The Night the Sun Came Up,pop,3
Bamboo Manalac,No Water No Moon,pop,4
Ninja Sex Party,NSFW,pop,8
Peter Furler,On Fire,pop,3
EMA,Past Life Martyred Saints,pop,4
Penguin Prison,Penguin Prison,pop,0
Natalia Kills,Perfectionist,pop,4
f(x),Pinocchio,pop,2
YuiKaori,Puppy,pop,5
Class Actress,Rapprocher,pop,0
Rebeldes,Rebeldes,pop,3
Dia Frampton,Red,pop,0
Reece Mastin,Reece Mastin,pop,1
Ronan Parke,Ronan Parke,pop,1
Runner Runner,Runner Runner,pop,3
Ivi Adamou,San Ena Oniro,pop,4
Icon for Hire,Scripted,pop,5
Jessica 6,See the Light,pop,0
Title Fight,Shed,pop,0
Mary-Jess Leaverland,Shine,pop,3
Somedaydream,Somedaydream,pop,5
This Century,Sound of Fire,pop,0
Wolf Gang,Suego Faults,pop,0
Paradise Oskar,Sunday Songs,pop,2
DyE,Taki 183,pop,2
MEN,Talk About Body,pop,3
The Groggers,There's No 'I' in Cherem,pop,4
Dillon,This Silence Kills,pop,0
Lucy Spraggan,Top Room at the Zoo,pop,0
Foster the People,Torches,pop,5
Unknown Mortal Orchestra,Unknown Mortal Orchestra,pop,2
One Direction,Up All Night,pop,4
Esben and the Witch,Violet Cries,pop,3
After School,Virgin,pop,3
Kimbra,Vows,pop,6
The Sound of Arrows,Voyage,pop,4
Warr Acres,Warr Acres,pop,0
Swimming With Dolphins,Water Colours,pop,0
Hyland,Weights & Measures,pop,0
Tim Bendzko,Wenn Worte meine Sprache waren,pop,0
Widowspeak,Widowspeak,pop,0
Washed Out,Within and Without,pop,0
Kimberly Caldwell,Without Regret,pop,2
Youth Lagoon,The Year of Hibernation,pop,2
Zoe Badwi,Zoe,pop,5
Demy,#1,pop,7
Summer Heart,About a Feeling,pop,1
Alice Caymmi,Alice Caymmi,pop,0
Titanium,All for You,pop,6
Dog Is Dead,All Our Favourite Stories,pop,0
California Wives,Art History,pop,0
alt-J,An Awesome Wave,pop,7
Matthew E. White,Big Inner,pop,0
ClariS,Birthday,pop,4
Emma Hewitt,Burn The Sky Down,pop,5
