index,artists,albums,release_date,ratings
2265,Bruce Springsteen,"The Christic Shows, November 16 & 17, 1990",28/06/2016,8.5
2266,Blut Aus Nord,Codex Obscura Nomina,28/06/2016,7.4
2267,Caveman,Otero War,28/06/2016,5.2
2268,Bjarki,‰ÛÏ_Ô‰Ûù,28/06/2016,5.8
2269,Suicide,Suicide,27/06/2016,9.1
2270,The Avett Brothers,True Sadness,27/06/2016,3.8
2271,Delorean,Muzik,27/06/2016,5
2272,Yumi Zouma,Yoncalla,27/06/2016,7.4
2273,Jay Arner,Jay II,27/06/2016,7
2274,Neil Young,Tonight's the Night,26/06/2016,10
2275,DJ Shadow,The Mountain Will Fall,25/06/2016,6.6
2276,Grace Jones,Warm Leatherette,25/06/2016,8.5
2277,John Cage,John Cage Meets Sun Ra: The Complete Concert,25/06/2016,7.5
2278,Allen Toussaint,American Tunes,25/06/2016,7.2
2279,G.L.O.S.S.,Trans Day of Revenge,24/06/2016,8.5
2280,Laura Mvula,The Dreaming Room,24/06/2016,7.8
2281,Odonis Odonis,Post Plague,24/06/2016,7.9
2282,Saqqara Mastabas,Libras,24/06/2016,6.4
2283,Disclosure,Moog for Love,23/06/2016,6
2284,Wye Oak,Tween,23/06/2016,8
2285,Sui Zhen,Secretly Susan,23/06/2016,7.8
2286,The Gotobeds,Blood // Sugar // Secs // Traffic,23/06/2016,5.6
2287,Mitski,Puberty 2,22/06/2016,8.5
2288,Bishop Nehru,Magic 19,22/06/2016,5.9
2289,Brigid Mae Power,Brigid Mae Power,22/06/2016,7.5
2290,RLYR,Delayer,22/06/2016,7
2291,Swans,The Glowing Man,21/06/2016,8.1
2292,YG,Still Brazy,21/06/2016,8
2293,Todd Terje,The Big Cover-Up,21/06/2016,6.9
2294,Ro James,ELDORADO,21/06/2016,6.5
2295,Red Hot Chili Peppers,The Getaway,20/06/2016,5.4
2296,Palmistry,PAGAN,20/06/2016,5
2297,Will Butler,Friday Night,20/06/2016,6.7
2298,Vatican Shadow,Media in the Service of Terror,20/06/2016,7.7
2299,Weval,Weval,20/06/2016,8
2300,George Harrison,All Things Must Pass,19/06/2016,9
2301,case/lang/veirs,case/lang/veirs,18/06/2016,8.2
2302,Yung,A Youthful Dream,18/06/2016,6.5
2303,Kodak Black,Lil B.I.G. Pac,18/06/2016,7.2
2304,Nails,You Will Never Be One of Us,18/06/2016,7.8
2305,Neil Young,EARTH,17/06/2016,6.5
2306,Jake Bugg,On My One,17/06/2016,3
2307,The Fall,Dragnet,17/06/2016,8.7
2308,Audion,Alpha,17/06/2016,6.1
2309,Van Morrison,"It's Too Late to Stop Now... Volumes II, III, IV & DVD",16/06/2016,8.8
2310,Nick Jonas,Last Year Was Complicated,16/06/2016,6.3
2311,Nite Jewel,Liquid Cool,16/06/2016,6.2
2312,Laraaji,Professional Sunflow,16/06/2016,6.8
2313,Waxahatchee,Early Recordings,15/06/2016,7.2
2314,Dan Lissvik,Midnight,15/06/2016,6.9
2315,Mozzy,Mandatory Check,15/06/2016,6.8
2316,Diarrhea Planet,Turn To Gold,15/06/2016,6.4
2317,Band of Horses,Why Are You OK,14/06/2016,6
2318,The Temper Trap,Thick as Thieves,14/06/2016,5.7
2319,Jackie Lynn,Jackie Lynn,14/06/2016,6.9
2320,Nate Wooley,Argonautica,14/06/2016,7.7
2321,Air,Twentyears,13/06/2016,5.6
2322,Huerco S.,For Those Of You Who Have Never (And Also Those Who Have),13/06/2016,8.1
2323,Plaid,The Digging Remedy,13/06/2016,6.5
2324,Holger Czukay,Movie!,13/06/2016,8
2325,Sumac,What One Becomes,13/06/2016,7.8
2326,Kate Bush,Hounds of Love,12/06/2016,10
2327,Cornelius,Fantasma (Reissue),11/06/2016,8.8
2328,Alexis Taylor,Piano,11/06/2016,7.1
2329,Ladyhawke,Wild Things,11/06/2016,5.7
2330,Fear of Men,Fall Forever,11/06/2016,6.7
2331,Garbage,Strange Little Birds,10/06/2016,7
2332,Speedy Ortiz,Foiled Again,10/06/2016,7.2
2333,Floorplan,Victorious,10/06/2016,6.8
2334,Margaret Glaspy,Emotions and Math,10/06/2016,7.7
2335,Vic Mensa,There‰Ûªs Alot Going On EP,09/06/2016,7.5
2336,Paul Simon,Stranger to Stranger,09/06/2016,7.2
2337,Peter Bjorn and John,Breakin‰Ûª Point,09/06/2016,5.7
2338,Terry Reid,The Other Side of the River,09/06/2016,8.4
2339,Tegan and Sara,Love You to Death,08/06/2016,7.1
2340,Various Artist,Blonde on Blonde Revisited,08/06/2016,7.6
2341,Mourn,"Ha, Ha, He.",08/06/2016,6
2342,Xenia Rubinos,Black Terry Cat,08/06/2016,8
2343,The Strokes,Future Present Past EP,07/06/2016,6
2344,The Kills,Ash & Ice,07/06/2016,6.2
2345,Lone,Levitate,07/06/2016,7.6
2346,White Zombie,It Came From N.Y.C.,07/06/2016,8.1
2347,Whitney,Light Upon the Lake,06/06/2016,8.3
2348,Big Thief,Masterpiece,06/06/2016,7.7
2349,Melvins,Basses Loaded,06/06/2016,5.5
2350,Moonface,My Best Human Face,06/06/2016,5.9
2351,Payroll Giovanni,Big Bossin Vol. 1,06/06/2016,8
2352,Slum Village,The Fan-Tas-Tic Box: A Jay-Dee Production Boxset,04/06/2016,8.5
2353,Steve Gunn,Eyes on the Lines,04/06/2016,8
2354,The Wailers,The Wailing Wailers,04/06/2016,8
2355,Cough,Still They Pray,04/06/2016,7.6
2356,Joey Purp,iiiDrops,03/06/2016,8.2
2357,Fifth Harmony,Jul-27,03/06/2016,6.2
2358,DÌ¢m-Funk,DJ-Kicks,03/06/2016,7.7
2359,Seiho,Collapse,03/06/2016,7.4
2360,Flume,Skin,02/06/2016,6.4
2361,William Tyler,Modern Country,02/06/2016,8
2362,Die Antwoord,Suck on This,02/06/2016,5
2363,Jank,Awkward Pop Songs,02/06/2016,7.9
2364,Mark Kozelek,Mark Kozelek Sings Favorites,01/06/2016,5.5
2365,Holy Fuck,Congrats,01/06/2016,6.6
2366,Sepalcure,Folding Time,01/06/2016,6
2367,Angry Angles,Angry Angles,01/06/2016,7.6
2368,Kevin Gates,Murder for Hire 2,31/05/2016,7.4
2369,Beth Orton,Kidsticks,31/05/2016,7.6
2370,Minor Victories,Minor Victories,31/05/2016,6
2371,Angel Du$t,Rock the Fuck on Forever,31/05/2016,6.9
2372,Daniel Romano,Mosey,31/05/2016,7.1
2373,Kristin Kontrol,X-Communicate,30/05/2016,7.5
2374,PUP,The Dream is Over,30/05/2016,7.8
2375,Olga Bell,Tempo,30/05/2016,7.9
2376,Rebolledo,Mondo Alterado,30/05/2016,7.4
2377,Autechre,elseq 1,28/05/2016,7
2378,Robert Glasper,Miles Ahead OST,28/05/2016,6.2
2379,Classixx,Faraway Reach,28/05/2016,7.7
2380,Africans With Mainframes,K.M.T.,28/05/2016,7.5
2381,The Hotelier,Goodness,27/05/2016,8
2382,The Underachievers,It Happened in Flatbush,27/05/2016,5.3
2383,Allen Ginsberg,The Last Word on First Blues,27/05/2016,7.9
2384,Debo Band,Ere Gobez,27/05/2016,8.1
2385,Wolf Parade,EP 4,26/05/2016,7
2386,Islands,Should I Remain Here at Sea?,26/05/2016,7.4
2387,Various Artist,Wake Up You!: The Rise & Fall of Nigerian Rock 1972-1977 Vol. 1,26/05/2016,7.5
2388,Adult Jazz,Earrings Off!,26/05/2016,6
2389,Ariana Grande,Dangerous Woman,25/05/2016,7.6
2390,Gold Panda,Good Luck and Do Your Best,25/05/2016,7.4
2391,Steve Reich,Four Organs / Phase Patterns,25/05/2016,7.6
2392,Mock Orange,Put the Kid on the Sleepy Horse,25/05/2016,6.5
2393,David Bowie,Changesonebowie,24/05/2016,8.8
2394,Dawn Richard,Infrared,24/05/2016,7.7
2395,So So Glos,Kamikaze,24/05/2016,7
2396,Terry Allen,Juarez,24/05/2016,8
2397,Bob Dylan,Fallen Angels,23/05/2016,6.4
2398,Pantha du Prince,The Triad,23/05/2016,8
2399,Rhys Chatham,Pythagorean Dream,23/05/2016,7.6
2400,Christian Naujoks,Wave,23/05/2016,7.5
2401,Marissa Nadler,Strangers,21/05/2016,7.6
2402,Richard Ashcroft,These People,21/05/2016,5.1
2403,Adia Victoria,Beyond the Bloodhounds,21/05/2016,7.9
2404,Carla Bley,Andando el Tiempo,21/05/2016,7.8
2405,Car Seat Headrest,Teens of Denial,20/05/2016,8.5
2406,Post Malone,August 26th,20/05/2016,5.2
2407,Head Wound City,A New Wave of Violence,20/05/2016,6.9
2408,Tim Heidecker,In Glendale,20/05/2016,6.5
2409,Various Artist,Day of the Dead,19/05/2016,8.1
2410,Mutual Benefit,Skip a Sinking Stone,19/05/2016,7
2411,Torn Hawk,Union and Return,19/05/2016,7.3
2412,Oscar,Cut and Paste,19/05/2016,6.5
2413,Jessy Lanza,Oh No,18/05/2016,7.9
2414,Nothing,Tired of Tomorrow,18/05/2016,8
2415,A Giant Dog,Pile,18/05/2016,8.2
2416,Shit Robot,What Follows,18/05/2016,6.7
2417,Chance the Rapper,Coloring Book,17/05/2016,9.1
2418,Summer Cannibals,Full of It,17/05/2016,7.2
2419,Jameszoo,Fool,17/05/2016,6.9
2420,Pinkshinyultrablast,Happy Songs for Happy Zombies,17/05/2016,6.9
2421,Miles Davis,The Complete Prestige 10-Inch LP Collection,16/05/2016,8.4
2422,Modern Baseball,Holy Ghost,16/05/2016,7.7
2423,Kvelertak,Nattesferd,16/05/2016,8
2424,Arbor Labor Union,I Hear You,16/05/2016,6.8
2425,Hooded Fang,Venus on Edge,16/05/2016,7.3
2426,Ryan Adams,Heartbreaker (Deluxe Reissue),14/05/2016,9
2427,Skepta,Konnichiwa,14/05/2016,7.8
2428,Corinne Bailey Rae,The Heart Speaks in Whispers,14/05/2016,7.6
2429,Thomas Cohen,Bloom Forever,14/05/2016,7.9
2430,Kaytranada,99.90%,13/05/2016,8
2431,Mark Pritchard,Under the Sun,13/05/2016,7.6
2432,Twin Peaks,Down in Heaven,13/05/2016,7.2
2433,Bacao Rhythm & Steel Band,55,13/05/2016,7.4
2434,Death Grips,Bottomless Pit,12/05/2016,8.1
2435,Jean-Michel Jarre,Electronica 2: The Heart of Noise,12/05/2016,4.9
2436,Pita,Get In,12/05/2016,7.2
2437,Seratones,Get Gone,12/05/2016,6.8
2438,Radiohead,A Moon Shaped Pool,11/05/2016,9.1
2439,LUH,Spiritual Songs for Lovers to Sing,11/05/2016,7.8
2440,Gregory Porter,Take Me to the Alley,11/05/2016,6.7
2441,Mary Chapin Carpenter,The Things That We Are Made Of,11/05/2016,6.8
2442,James Blake,The Colour in Anything,10/05/2016,8.2
2443,Little Scream,Cult Following,10/05/2016,7.5
2444,Homeboy Sandman,Kindness for Weakness,10/05/2016,6.7
2445,Fog,For Good,10/05/2016,7
2446,Julianna Barwick,Will,09/05/2016,8.2
2447,Helado Negro,Island Universe Story: Selected Works,09/05/2016,7.8
2448,Meyhem Lauren,Piatto D'Oro,09/05/2016,6.6
2449,Chris Cohen,As If Apart,09/05/2016,7.4
2450,Jack DeJohnette,In Movement,09/05/2016,8.3
2451,Cluster,Cluster 71,07/05/2016,8.5
2452,Various Artist,songs from wonder.land,07/05/2016,5
2453,Britta Phillips,Luck or Magic,07/05/2016,5
2454,Mo Troper,Beloved,07/05/2016,6
2455,White Lung,Paradise,06/05/2016,8.4
2456,Various Artist,Another Splash of Colour - New Psychedelia in Britain 1980-1985,06/05/2016,7.2
2457,Vektor,Terminal Redux,06/05/2016,8.2
2458,Big Black Delta,TrÌÁgame Tierra,06/05/2016,4.7
2459,ANOHNI,Hopelessness,05/05/2016,9
2460,Pity Sex,White Hot Moon,05/05/2016,6.5
2461,Various Artist,Junjo Presents: Wins the World Cup,05/05/2016,7.7
2462,Hurry,Guided Meditation,05/05/2016,7.1
2463,Aesop Rock,The Impossible Kid,04/05/2016,8.2
2464,Egyptian Lover,Egyptian Lover 1983-1988,04/05/2016,8
2465,King Gizzard & The Lizard Wizard,Nonagon Infinity,04/05/2016,8
2466,Operators,Blue Wave,04/05/2016,7.5
2467,Katy B,Honey,03/05/2016,7
2468,Various Artist,"Close To the Noise Floor - Formative UK Electronica 1975 - 1984 - Excursions in Proto-Synth Pop, DIY",03/05/2016,8.1
2469,Holy Ghost!,Crime Cutz,03/05/2016,7
2470,Yoni & Geti,Testarossa,03/05/2016,7.2
2471,Lush,Gala,03/05/2016,8.5
2472,Drake,VIEWS,02/05/2016,6.8
2473,Various Artist,DJ Koze Presents Pampa Vol. 1,02/05/2016,7.4
2474,Anna Wise,The Feminine: Act I,02/05/2016,6.9
2475,Alarm Will Sound,Modernists,02/05/2016,7.6
2476,Prince,"Sign ""O"" the Times",30/04/2016,10
2477,Prince,1999,30/04/2016,10
2478,Prince,Parade,30/04/2016,9.1
2479,Prince,Diamonds and Pearls,30/04/2016,8.3
2480,Prince,Purple Rain,29/04/2016,10
2481,Prince,Dirty Mind,29/04/2016,10
2482,Prince,Controversy,29/04/2016,9
2483,Prince,Around the World in a Day,29/04/2016,8.8
2484,Wire,Nocturnal Koreans,28/04/2016,7
2485,Dej Loaf,All Jokes Aside,28/04/2016,7.5
2486,DÌ_lek,Asphalt for Eden,28/04/2016,7.8
2487,Horse Lords,Interventions,28/04/2016,7.9
2488,Brian Eno,The Ship,27/04/2016,8
2489,Ensemble Dal Niente,Balter / Saunier,27/04/2016,7.6
2490,Susanna,Triangle,27/04/2016,6.4
2491,Audio Push,The Stone Junction,27/04/2016,7.1
2492,BeyoncÌ©,Lemonade,26/04/2016,8.5
2493,A$AP Ferg,Always Strive and Prosper,26/04/2016,7.3
2494,Cullen Omori,New Misery,26/04/2016,6.2
2495,Antwon,Double Ecstasy EP,26/04/2016,6.9
2496,Andy Stott,Too Many Voices,25/04/2016,7.1
2497,Etta James,At Last!,25/04/2016,9
2498,Ulver,Bergtatt,25/04/2016,8.7
2499,Kyle Craft,Dolls of Highland,25/04/2016,8.1
2500,Rogue Wave,Delusions of Grand Fur,25/04/2016,5.7
2501,John Carpenter,Lost Themes II,23/04/2016,5.6
2502,Bill Evans,Some Other Time: the Lost Session from the Black Forest,23/04/2016,8.4
2503,DJ Quik,Rosecrans,23/04/2016,6.8
2504,Plants and Animals,Waltzed in from the Rumbling,23/04/2016,6.8
2505,Jay Reatard,Blood Visions,22/04/2016,9.1
2506,Konono Nå¡1,Konono Nå¡1 Meets Batida,22/04/2016,6.8
2507,Primitive Weapons,The Future of Death,22/04/2016,8
2508,Sorority Noise,It Kindly Stopped for Me,22/04/2016,6.6
2509,Guided by Voices,Please Be Honest,21/04/2016,5.9
2510,Arthur Russell,Tower of Meaning,21/04/2016,7
2511,Cellars,Phases,21/04/2016,7
2512,Lawrence,Yoyogi Park,21/04/2016,7.9
2513,J Dilla,The Diary,20/04/2016,6.9
2514,Carlos NiÌ±o & Friends,"Flutes, Echoes, It's All Happening!",20/04/2016,6.8
2515,Various Artist,"Music of Morocco: Recorded by Paul Bowles, 1959",20/04/2016,8.9
2516,Various Artist,BIS: 001-020,20/04/2016,6.8
2517,Sturgill Simpson,A Sailor's Guide to Earth,19/04/2016,8
2518,Lush,Blind Spot EP,19/04/2016,7.6
2519,Dave Harrington Group,Become Alive,19/04/2016,6.7
2520,Toyomu,Œç¡è±ÁIII : ‹Å»‹âÒ‹Å¬‹Å»‹Åè‹ÛÅ‹ÄÔ‹Ä_‹Ä_ (Imagining ‰ÛÏThe Life of Pablo‰Ûù),19/04/2016,6
2521,Deakin,Sleep Cycle,18/04/2016,7.6
2522,Sam Beam & Jesca Hoop,Love Letter for Fire,18/04/2016,7.5
2523,Bleached,Welcome the Worms,18/04/2016,6.9
2524,Mr. Lif,Don't Look Down,18/04/2016,7
2525,Tunji Ige,Missed Calls,18/04/2016,6.8
2526,Kevin Morby,Singing Saw,15/04/2016,8.3
2527,Colin Stetson,Sorrow - A Reimagining of Gorecki's 3rd Symphony,15/04/2016,7.8
2528,Royce 5‰Ûª9‰Ûù,Layers,15/04/2016,6.4
2529,Cate Le Bon,Crab Day,15/04/2016,8.1
2530,Tyler Friedman,YYY EP,15/04/2016,6
2531,PJ Harvey,The Hope Six Demolition Project,14/04/2016,7.6
2532,Xiu Xiu,Plays the Music of Twin Peaks,14/04/2016,7.7
2533,Eskimeaux,Year of the Rabbit,14/04/2016,6.8
2534,Ben Watt,Fever Dream,14/04/2016,6.8
2535,Peder Mannerfelt,Controlling Body,14/04/2016,8.1
2536,Metallica,Ride the Lightning,13/04/2016,10
2537,Niki and the Dove,Everybody's Heart Is Broken Now,13/04/2016,7.8
2538,Kweku Collins,Nat Love,13/04/2016,8
2539,Greys,Outer Heaven,13/04/2016,7.8
2540,Youth Code,Commitment to Complications,13/04/2016,7.5
2541,Deftones,Gore,12/04/2016,7.8
2542,Kaitlyn Aurelia Smith,EARS,12/04/2016,8
2543,Into It. Over It.,Standards,12/04/2016,7
2544,Gallant,Ology,12/04/2016,7.5
2545,Dinner,Psychic Lovers,12/04/2016,5
2546,M83,Junk,11/04/2016,6.8
2547,DJ Rashad,Afterlife,11/04/2016,7.2
2548,Frightened Rabbit,Painting of a Panic Attack,11/04/2016,6
2549,K. Michelle,More Issues Than Vogue,11/04/2016,7.9
2550,Bombino,Azel,11/04/2016,7.8
2551,Parquet Courts,Human Performance,08/04/2016,8.4
2552,Mogwai,Atomic,08/04/2016,7.1
2553,Terrace Martin,Velvet Portraits,08/04/2016,7.8
2554,Tacocat,Lost Time,08/04/2016,6.1
2555,"TrÌ_d, GrÌ_s och Stenar",Djungelns Lag,08/04/2016,8.5
2556,Tim Hecker,Love Streams,07/04/2016,8.2
2557,Death Grips,Interview 2016,07/04/2016,7
2558,Woods,City Sun Eater in the River of Light,07/04/2016,7.6
2559,Twenty88,Twenty88,07/04/2016,6.5
2560,Flying Saucer Attack,Further,07/04/2016,8.5
2561,Grimes,Halfaxa,06/04/2016,7.8
2562,Ash Koosha,I AKA I,06/04/2016,7.5
2563,Andrew Bird,Are You Serious,06/04/2016,7.2
2564,Teen Suicide,It's the Big Joyous Celebration,06/04/2016,7.8
2565,Henry Threadgill,Old Locks and Irregular Verbs,06/04/2016,8
2566,dvsn,Sept. 5th,05/04/2016,8.3
2567,Yeasayer,Amen & Goodbye,05/04/2016,5.4
2568,The Last Shadow Puppets,Everything You've Come to Expect,05/04/2016,5.6
2569,Autolux,Pussy's Dead,05/04/2016,7.2
2570,Bob Mould,Patch the Sky,05/04/2016,7
2571,The Field,The Follower,04/04/2016,7.9
2572,Leon Vynehall,Rojus,04/04/2016,7.8
2573,Pet Shop Boys,Super,04/04/2016,6.9
2574,Tombs,All Empires Fall,04/04/2016,7.8
2575,Com Truise,Silicon Tare EP,04/04/2016,5.9
2576,Frankie Cosmos,Next Thing,01/04/2016,8.5
2577,Eric Bachmann,Eric Bachmann,01/04/2016,7.2
2578,Black Milk & Nat Turner,The Rebellion Sessions,01/04/2016,7.1
2579,Nisennenmondai,#N/A,01/04/2016,7.8
2580,Glenn Jones,Fleeting,01/04/2016,7.2
2581,Azealia Banks,Slay-Z,31/03/2016,7.4
2582,Charles Bradley,Changes,31/03/2016,7.1
2583,Black Mountain,IV,31/03/2016,7.5
2584,Mike and the Melvins,Three Men and a Baby,31/03/2016,7
2585,The Monochrome Set,"Volume, Contrast, Brilliance... Unreleased & Rare Vol. 2",31/03/2016,8.2
2586,Weezer,Weezer (White Album),30/03/2016,6.2
2587,Young Thug,Slime Season 3,30/03/2016,7.9
2588,Bibio,A Mineral Love,30/03/2016,6.8
2589,Laura Gibson,Empire Builder,30/03/2016,7.7
2590,Elliphant,Living Life Golden,30/03/2016,6.7
2591,Zayn,Mind of Mine,29/03/2016,5.9
2592,Moderat,III,29/03/2016,7.1
2593,Ramriddlz,Venis,29/03/2016,4.5
2594,Japanese Breakfast,Psychopomp,29/03/2016,7.9
2595,Brad Fiedel,<i>The Terminator</i> OST,29/03/2016,8.5
2596,Explosions in the Sky,The Wilderness,28/03/2016,8
2597,RJD2,Dame Fortune,28/03/2016,7
2598,Domo Genesis,Genesis,28/03/2016,7.2
2599,Anthony Braxton,3 Compositions (EEMHM) 2011,28/03/2016,8.2
2600,Public Memory,Wuthering Drum,28/03/2016,6.9
2601,Larry Levan,Genius of Time,25/03/2016,8.8
2602,Cobalt,Slow Forever,25/03/2016,8.4
2603,Studio OST,Scenes 2012-2015,25/03/2016,8.1
2604,Babyfather,BBF Hosted by DJ Escrow,25/03/2016,6
2605,Masami Akita & Eiko Ishibashi,Kouen Kyoudai,25/03/2016,5.1
2606,Kamaiyah,A Good Night in the Ghetto,24/03/2016,8.2
2607,The Thermals,We Disappear,24/03/2016,6.9
2608,Father,I'm a Piece of Shit,24/03/2016,7.7
2609,Margo Price,Midwest Farmer's Daughter,24/03/2016,7
2610,Amnesia Scanner,AS EP,24/03/2016,8.2
2611,Vijay Iyer,A Cosmic Rhythm With Each Stroke,23/03/2016,8.5
2612,Charli XCX,Vroom Vroom EP,23/03/2016,4.5
2613,Baauer,Aa,23/03/2016,7.3
2614,Boosie Badazz,Thug Talk,23/03/2016,7.3
2615,Starchild & the New Romantic,Crucial EP,23/03/2016,5.9
2616,iLoveMakonnen,Drink More Water 6,22/03/2016,6.2
2617,The Joy Formidable,Hitch,22/03/2016,6.1
2618,Lucius,Good Grief,22/03/2016,6.3
2619,The Body,One Day You Will Ache Like I Ache,22/03/2016,7.6
2620,Kiran Leonard,Grapefruit,22/03/2016,7
2621,Gwen Stefani,This Is What the Truth Feels Like,21/03/2016,5.9
2622,Boris,Gensho,21/03/2016,5.7
2623,Rolling Blackouts Coastal Fever,Talk Tight,21/03/2016,8
2624,Various Artist,Trekkie Trax The Best 2012 - 2015,21/03/2016,7.2
2625,Open Mike Eagle & Paul White,Hella Personal Film Festival,21/03/2016,7.3
2626,Bonnie ‰ÛÏPrince‰Ûù Billy,Epic Jammers and Fortunate Little Ditties,18/03/2016,7.9
2627,Lust for Youth,Compassion,18/03/2016,6.2
2628,The Goon Sax,Up to Anything,18/03/2016,7
2629,Bent Shapes,Wolves of Want,18/03/2016,6.8
2630,Gadget,The Great Destroyer,18/03/2016,7
2631,Primal Scream,Chaosmosis,17/03/2016,6
2632,Lil Yachty,Lil Boat,17/03/2016,4.8
2633,HÌ LOS,Full Circle,17/03/2016,7.7
2634,Various Artist,Wayfaring Strangers: Cosmic American Music,17/03/2016,6.2
2635,Chris Forsyth and the Solar Motel Band,The Rarity of Experience,17/03/2016,7.7
2636,Jeff Buckley,You and I,16/03/2016,5.8
2637,Flatbush Zombies,3001: A Laced Odyssey,16/03/2016,7.2
2638,The Feelies,Only Life,16/03/2016,7.6
2639,Lifetones,For A Reason,16/03/2016,7.4
2640,Ceramic TL,Sign of the Cross Every Mile to the Border,16/03/2016,7
2641,Underworld,"Barbara Barbara, we face a shining future",15/03/2016,8.1
2642,The Body,No One Deserves Happiness,15/03/2016,7.7
2643,ZelooperZ,Bothic,15/03/2016,6.3
2644,Horse Jumper of Love,Horse Jumper of Love,15/03/2016,5.9
2645,Zach Cooper,The Sentence,15/03/2016,6
2646,Sheer Mag,III EP,14/03/2016,8.3
2647,Clark,The Last Panthers,14/03/2016,7.1
2648,DJ Katapila,Trotro,14/03/2016,7.7
2649,Fake Boyfriend,Mercy EP,14/03/2016,7.8
2650,Immix Ensemble & Vessel,Transition,14/03/2016,7
2651,The Range,Potential,11/03/2016,8
2652,LÌ´psley,Long Way Home,11/03/2016,6.6
2653,M. Ward,More Rain,11/03/2016,5.9
2654,Big Ups,Before a Million Universes,11/03/2016,7.6
2655,Methyl Ethel,Oh Inhuman Spectacle,11/03/2016,6.7
2656,Carter Tanton,Jettison The Valley,10/03/2016,6.4
2657,Jealousy,Paid For It,10/03/2016,7.6
2658,Tiga,No Fantasy Required,10/03/2016,6.2
2659,Fatima Al Qadiri,Brute,10/03/2016,7.3
2660,Iggy Pop,Post Pop Depression,10/03/2016,6.9
2661,Wussy,Forever Sounds,09/03/2016,6.9
2662,The Big Pink,Empire Underground EP,09/03/2016,6.5
2663,Lil Wayne,Collegrove,09/03/2016,6.8
2664,Glitterbust,Glitterbust,09/03/2016,7.8
2665,TOKiMONSTA,Fovere,09/03/2016,5.5
2666,Kane Strang,Blue Cheese,08/03/2016,6.6
2667,Mothers,When You Walk a Long Distance You Are Tired,08/03/2016,7.1
2668,Smoke DZA,He Has Risen,08/03/2016,6.9
2669,PoliÌ_a,United Crushers,08/03/2016,6.6
2670,Kendrick Lamar,untitled unmastered.,08/03/2016,8.6
2671,Mary Lattimore,At the Dam,07/03/2016,7.8
2672,Jennifer O'Connor,Surface Noise,07/03/2016,5
2673,Thao & the Get Down Stay Down,A Man Alive,07/03/2016,8
2674,El Guincho,Hiperasia,07/03/2016,6.8
2675,Anna Meredith,Varmints,07/03/2016,8.4
2676,Yndi Halda,Under Summer,04/03/2016,6
2677,Mikael Seifu,Zelalem,04/03/2016,7.4
2678,Sarah Neufeld,The Ridge,04/03/2016,6.9
2679,Soulwax,<i>Belgica</i> Original Soundtrack,04/03/2016,6.2
2680,Esperanza Spalding,Emily‰Ûªs D+Evolution,04/03/2016,8.6
2681,Oranssi Pazuzu,VÌ_rÌ_htelijÌ_,03/03/2016,7.9
2682,Anenon,Petrol,03/03/2016,7.6
2683,Heron Oblivion,Heron Oblivion,03/03/2016,7.7
2684,Violent Femmes,We Can Do Anything,03/03/2016,4.6
2685,Loretta Lynn,Full Circle,03/03/2016,8
2686,Kedr Livanskiy,January Sun,02/03/2016,7.8
2687,Quelle Chris,Lullabies for the Broken Brain,02/03/2016,7.4
2688,La Sera,Music for Listening to Music to,02/03/2016,6.7
2689,Thug Entrancer,Arcology,02/03/2016,7.8
2690,David Bowie,Bowie at the Beeb,02/03/2016,8
2691,Especia,Carta,01/03/2016,6.5
2692,Quilt,Plaza,01/03/2016,7.7
2693,HXLT,HXLT,01/03/2016,4.9
2694,LNZNDRF,LNZNDRF,01/03/2016,6.5
2695,Mr. Fingers,Outer Acid EP,01/03/2016,8.1
2696,Various Artist,God Don't Never Change: The Songs of Blind Willie Johnson,29/02/2016,5.8
2697,NA,Cellar EP,29/02/2016,7.5
2698,Yuck,Stranger Things,29/02/2016,5.2
2699,Rome Fortune,Jerome Raheem Fortune,29/02/2016,7
2700,Hop Along,Get Disowned,29/02/2016,8.5
2701,Glenn Kotche,Drumkit Quartets,26/02/2016,6.6
2702,Guerilla Toss,Eraser Stargazer,26/02/2016,6.9
2703,Pinkshinyultrablast,Grandfeathered,26/02/2016,6.5
2704,Lucy Dacus,No Burden,26/02/2016,7.8
2705,Macklemore,This Unruly Mess I've Made,26/02/2016,5.1
