index,artists,albums,release_date,ratings
752,Kedr Livanskiy,Ariadna,07/09/2017,7.4
753,D33J,Death Valley Oasis,07/09/2017,6.8
754,Zola Jesus,Okovi,06/09/2017,8.3
755,BROCKHAMPTON,Saturation II,06/09/2017,7.2
756,David Rawlings,Poor David‰Ûªs Almanack,06/09/2017,8
757,Tony Allen,The Source,06/09/2017,7.7
758,Various Artist,Twin Peaks (Music From the Limited Event Series) ,05/09/2017,7.5
759,Mogwai,Every Country's Sun,05/09/2017,7.6
760,Hercules and Love Affair,Omnion,05/09/2017,7.7
761,Superchunk,Superchunk,05/09/2017,8.3
762,Harry Nilsson,Popeye: Original Motion Picture Soundtrack,04/09/2017,8
763,Nelly,Country Grammar ,03/09/2017,8.1
764,The Verve,Urban Hymns,02/09/2017,8.6
765,A Giant Dog,Toy,02/09/2017,7.4
766,Martin Glass,The Pacific Visions of Martin Glass,02/09/2017,6.4
767,Greet Death,Dixieland,02/09/2017,7.7
768,LCD Soundsystem,American Dream,01/09/2017,8.5
769,Deem Spencer,we think we alone EP,01/09/2017,6.5
770,Nadine Shah,Holiday Destination,01/09/2017,7.6
771,Tera Melos,Trash Generator,01/09/2017,7.4
772,XXXTentacion,17,31/08/2017,6.5
773,A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,31/08/2017,6
774,King Gizzard & The Lizard Wizard,Sketches of Brunswick East,31/08/2017,7.5
775,Liza Minnelli,Results,31/08/2017,7.4
776,Lil Uzi Vert,Luv Is Rage 2,30/08/2017,7.7
777,Wiki,No Mountains in Manhattan,30/08/2017,8.1
778,Hype Williams,Rainbow Edition,30/08/2017,6.4
779,Bicep,Bicep,30/08/2017,7.4
780,Action Bronson,Blue Chips 7000,29/08/2017,7.4
781,Kodak Black,Project Baby 2,29/08/2017,6
782,Various Artist,Afrobeat Hot Hits: New Urban Dance Grooves From Africa,29/08/2017,7.5
783,Alex Chilton,A Man Called Destruction,29/08/2017,6.7
784,Queens of the Stone Age,Villains,28/08/2017,6.9
785,Liars,TFCF,28/08/2017,7.5
786,Dave East,Paranoia,28/08/2017,7
787,Underworld,Beaucoup Fish,28/08/2017,7.4
788,Joe Bataan,Gypsy Woman,27/08/2017,8.2
789,D‰ÛªAngelo,Brown Sugar,26/08/2017,9.2
790,Filthy Friends,Invitation,26/08/2017,6.5
791,Daniel Caesar,Freudian,26/08/2017,7.3
792,B12,Electro-Soma I + II,26/08/2017,7.7
793,The War on Drugs,A Deeper Understanding,25/08/2017,8.7
794,EMA,Exile in the Outer Ring,25/08/2017,8
795,Turnover,Good Nature,25/08/2017,7.3
796,Joseph Shabason,Aytche,25/08/2017,7.6
797,Lil B,Black Ken,24/08/2017,8.5
798,Iron & Wine,Beast Epic,24/08/2017,7.5
799,Sannhet,So Numb,24/08/2017,8
800,Vijay Iyer Sextet,Far From Over,24/08/2017,7.7
801,Brand New,Science Fiction,23/08/2017,8.3
802,Rainer Maria,S/T,23/08/2017,7.6
803,Oh Sees,Orc,23/08/2017,7.4
804,Maya Jane Coles,Take Flight,23/08/2017,6
805,Alice Glass,Alice Glass EP,22/08/2017,6.8
806,Various Artist,Tropical Drums of Deutschland,22/08/2017,7.4
807,Khalil,The Water We Drink,22/08/2017,7.2
808,TOBACCO,Ripe & Majestic,22/08/2017,7.7
809,A$AP Ferg,Still Striving,21/08/2017,6.1
810,Cloakroom,Time Well,21/08/2017,7.3
811,Mozzy,1 Up Top Ahk,21/08/2017,7.6
812,Various Artist,Terra Incognita,21/08/2017,7.2
813,Tears for Fears,Songs From the Big Chair,20/08/2017,8.9
814,Link Wray,Link Wray,19/08/2017,9.1
815,Samantha Urbani,Policies of Power EP,19/08/2017,7.2
816,Blondes,Warmth,19/08/2017,7.3
817,Trailer Trash Tracys,Althaea,19/08/2017,6
818,Grizzly Bear,Painted Ruins,18/08/2017,7.3
